test_name,c0_M,phi0_mV,L_nm,eps_r,stretch,N,dx_nm,L2_mV,order
baseline,0.001,50,100,12,1.0,51,2.0000,0.106395,--
baseline,0.001,50,100,12,1.0,101,1.0000,0.0299449,1.86
baseline,0.001,50,100,12,1.0,201,0.5000,0.00775762,1.96
baseline,0.001,50,100,12,1.0,401,0.2500,0.00195871,1.99
baseline,0.001,50,100,12,1.0,801,0.1250,0.000491058,2.00
baseline,0.001,50,100,12,1.0,1601,0.0625,0.00012287,2.00
c0_0.0001M,0.0001,50,500,12,1.0,51,10.0000,0.177737,--
c0_0.0001M,0.0001,50,500,12,1.0,101,5.0000,0.0560678,1.69
c0_0.0001M,0.0001,50,500,12,1.0,201,2.5000,0.0151657,1.90
c0_0.0001M,0.0001,50,500,12,1.0,401,1.2500,0.00387736,1.97
c0_0.0001M,0.0001,50,500,12,1.0,801,0.6250,0.00097524,1.99
c0_0.0001M,0.0001,50,500,12,1.0,1601,0.3125,0.000244221,2.00
c0_0.01M,0.01,50,100,12,1.0,51,2.0000,0.298387,--
c0_0.01M,0.01,50,100,12,1.0,101,1.0000,0.1263,1.26
c0_0.01M,0.01,50,100,12,1.0,201,0.5000,0.0397444,1.68
c0_0.01M,0.01,50,100,12,1.0,401,0.2500,0.0107371,1.89
c0_0.01M,0.01,50,100,12,1.0,801,0.1250,0.00274342,1.97
c0_0.01M,0.01,50,100,12,1.0,1601,0.0625,0.000689814,1.99
c0_0.1M,0.1,50,100,12,1.0,51,2.0000,0.199633,--
c0_0.1M,0.1,50,100,12,1.0,101,1.0000,0.231968,-0.22
c0_0.1M,0.1,50,100,12,1.0,201,0.5000,0.131556,0.82
c0_0.1M,0.1,50,100,12,1.0,401,0.2500,0.0493695,1.42
c0_0.1M,0.1,50,100,12,1.0,801,0.1250,0.0145169,1.77
c0_0.1M,0.1,50,100,12,1.0,1601,0.0625,0.00381697,1.93
phi_25mV,0.001,25,100,12,1.0,51,2.0000,0.0337736,--
phi_25mV,0.001,25,100,12,1.0,101,1.0000,0.00886664,1.96
phi_25mV,0.001,25,100,12,1.0,201,0.5000,0.0022472,1.99
phi_25mV,0.001,25,100,12,1.0,401,0.2500,0.00056408,2.00
phi_25mV,0.001,25,100,12,1.0,801,0.1250,0.000141207,2.00
phi_25mV,0.001,25,100,12,1.0,1601,0.0625,3.53189e-05,2.00
phi_100mV,0.001,100,100,12,1.0,51,2.0000,0.518609,--
phi_100mV,0.001,100,100,12,1.0,101,1.0000,0.183863,1.52
phi_100mV,0.001,100,100,12,1.0,201,0.5000,0.0536188,1.79
phi_100mV,0.001,100,100,12,1.0,401,0.2500,0.014122,1.93
phi_100mV,0.001,100,100,12,1.0,801,0.1250,0.00358325,1.98
phi_100mV,0.001,100,100,12,1.0,1601,0.0625,0.000899385,2.00
phi_200mV,0.001,200,100,12,1.0,51,2.0000,2.44672,--
phi_200mV,0.001,200,100,12,1.0,101,1.0000,1.3459,0.87
phi_200mV,0.001,200,100,12,1.0,201,0.5000,0.625794,1.11
phi_200mV,0.001,200,100,12,1.0,401,0.2500,0.241963,1.38
phi_200mV,0.001,200,100,12,1.0,801,0.1250,0.0776981,1.64
phi_200mV,0.001,200,100,12,1.0,1601,0.0625,0.0216512,1.85
L_50nm,0.001,50,50,12,1.0,51,1.0000,0.0421404,--
L_50nm,0.001,50,50,12,1.0,101,0.5000,0.0109437,1.97
L_50nm,0.001,50,50,12,1.0,201,0.2500,0.00276663,2.00
L_50nm,0.001,50,50,12,1.0,401,0.1250,0.000694195,2.00
L_50nm,0.001,50,50,12,1.0,801,0.0625,0.000174378,2.00
L_50nm,0.001,50,50,12,1.0,1601,0.0312,4.6033e-05,1.92
L_200nm,0.001,50,200,12,1.0,51,4.0000,0.220618,--
L_200nm,0.001,50,200,12,1.0,101,2.0000,0.0756043,1.57
L_200nm,0.001,50,200,12,1.0,201,1.0000,0.0212268,1.85
L_200nm,0.001,50,200,12,1.0,401,0.5000,0.0054923,1.96
L_200nm,0.001,50,200,12,1.0,801,0.2500,0.00138588,1.99
L_200nm,0.001,50,200,12,1.0,1601,0.1250,0.000347339,2.00
stretch_2.0,0.001,50,100,12,2.0,51,2.0000,0.226405,--
stretch_2.0,0.001,50,100,12,2.0,101,1.0000,0.0774111,1.57
stretch_2.0,0.001,50,100,12,2.0,201,0.5000,0.0217317,1.85
stretch_2.0,0.001,50,100,12,2.0,401,0.2500,0.00562345,1.96
stretch_2.0,0.001,50,100,12,2.0,801,0.1250,0.00141903,1.99
stretch_2.0,0.001,50,100,12,2.0,1601,0.0625,0.00035565,2.00
stretch_3.0,0.001,50,100,12,3.0,51,2.0000,0.302541,--
stretch_3.0,0.001,50,100,12,3.0,101,1.0000,0.123645,1.31
stretch_3.0,0.001,50,100,12,3.0,201,0.5000,0.038238,1.71
stretch_3.0,0.001,50,100,12,3.0,401,0.2500,0.010262,1.90
stretch_3.0,0.001,50,100,12,3.0,801,0.1250,0.00261693,1.97
stretch_3.0,0.001,50,100,12,3.0,1601,0.0625,0.000657675,1.99
eps_80,0.001,50,100,80,1.0,51,2.0000,0.0292335,--
eps_80,0.001,50,100,80,1.0,101,1.0000,0.00750292,1.99
eps_80,0.001,50,100,80,1.0,201,0.5000,0.00192012,1.98
eps_80,0.001,50,100,80,1.0,401,0.2500,0.000587243,1.72
eps_80,0.001,50,100,80,1.0,801,0.1250,0.000366184,0.68
eps_80,0.001,50,100,80,1.0,1601,0.0625,0.000346984,0.08
